County,Province
Antrim,Ulster
Armagh,Ulster
Cavan,Ulster
Derry,Ulster
Donegal,Ulster
Down,Ulster
Fermanagh,Ulster
Monaghan,Ulster
Tyrone,Ulster
Galway,Connaught
Leitrim,Connaught
Mayo,Connaught
Roscommon,Connaught
Sligo,Connaught
Carlow,Leinster
Dublin,Leinster
Kildare,Leinster
Kilkenny,Leinster
Laois,Leinster
Longford,Leinster
Louth,Leinster
Meath,Leinster
Offaly,Leinster
Westmeath,Leinster
Wexford,Leinster
Wicklow,Leinster
Clare,Munster
Cork,Munster
Kerry,Munster
Limerick,Munster
Tipperary,Munster
Waterford,Munster
